DATAFLOW,FREQ,REF_AREA,DATA_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE19,LIFEEXP65F,2023,22.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE19,LIFEEXP65F,2024,23.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE19,LIFEEXP65F,2025,23.3,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE1A,LIFEEXP65F,2015,22.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE1A,LIFEEXP65F,2016,22.7,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE1A,LIFEEXP65F,2017,22.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE1A,LIFEEXP65F,2018,22.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE1A,LIFEEXP65F,2019,22.7,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE1A,LIFEEXP65F,2020,22.4,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE1A,LIFEEXP65F,2021,22.6,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE1A,LIFEEXP65F,2022,22.4,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE1A,LIFEEXP65F,2023,22.9,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE1A,LIFEEXP65F,2024,22.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE1A,LIFEEXP65F,2025,22.9,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE2,LIFEEXP65F,2015,22.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE2,LIFEEXP65F,2016,22.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE2,LIFEEXP65F,2017,22.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE2,LIFEEXP65F,2018,23.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE2,LIFEEXP65F,2019,23.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE2,LIFEEXP65F,2020,22.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE2,LIFEEXP65F,2021,22.6,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE2,LIFEEXP65F,2022,22.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE2,LIFEEXP65F,2023,23,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE2,LIFEEXP65F,2024,23,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE2,LIFEEXP65F,2025,23.4,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE21,LIFEEXP65F,2015,22.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE21,LIFEEXP65F,2016,22.9,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE21,LIFEEXP65F,2017,22.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE21,LIFEEXP65F,2018,23.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE21,LIFEEXP65F,2019,23.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE21,LIFEEXP65F,2020,23.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE21,LIFEEXP65F,2021,22.6,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE21,LIFEEXP65F,2022,22.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE21,LIFEEXP65F,2023,23.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE21,LIFEEXP65F,2024,23.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE21,LIFEEXP65F,2025,23.7,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE22,LIFEEXP65F,2015,22.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE22,LIFEEXP65F,2016,22.6,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE22,LIFEEXP65F,2017,22.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE22,LIFEEXP65F,2018,22.7,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE22,LIFEEXP65F,2019,23,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE22,LIFEEXP65F,2020,22.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE22,LIFEEXP65F,2021,22.6,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE22,LIFEEXP65F,2022,21.6,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE22,LIFEEXP65F,2023,22.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE22,LIFEEXP65F,2024,22.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE22,LIFEEXP65F,2025,22.8,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE3,LIFEEXP65F,2015,22.6,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE3,LIFEEXP65F,2016,22.9,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE3,LIFEEXP65F,2017,22.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE3,LIFEEXP65F,2018,23.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE3,LIFEEXP65F,2019,23.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE3,LIFEEXP65F,2020,22.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE3,LIFEEXP65F,2021,22.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE3,LIFEEXP65F,2022,22.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE3,LIFEEXP65F,2023,22.9,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE3,LIFEEXP65F,2024,23.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE3,LIFEEXP65F,2025,23.3,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE31,LIFEEXP65F,2015,22.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE31,LIFEEXP65F,2016,23,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE31,LIFEEXP65F,2017,22.9,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE31,LIFEEXP65F,2018,23.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE31,LIFEEXP65F,2019,23,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE31,LIFEEXP65F,2020,21.7,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE31,LIFEEXP65F,2021,22.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE31,LIFEEXP65F,2022,22.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE31,LIFEEXP65F,2023,23,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE31,LIFEEXP65F,2024,23.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE31,LIFEEXP65F,2025,23.3,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE32,LIFEEXP65F,2015,22.7,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE32,LIFEEXP65F,2016,23.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE32,LIFEEXP65F,2017,22.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE32,LIFEEXP65F,2018,23.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE32,LIFEEXP65F,2019,23.4,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE32,LIFEEXP65F,2020,22.7,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE32,LIFEEXP65F,2021,22.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE32,LIFEEXP65F,2022,22.7,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE32,LIFEEXP65F,2023,22.9,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE32,LIFEEXP65F,2024,23.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE32,LIFEEXP65F,2025,23.7,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE33,LIFEEXP65F,2015,22.7,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE33,LIFEEXP65F,2016,22.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE33,LIFEEXP65F,2017,22.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE33,LIFEEXP65F,2018,23.6,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE33,LIFEEXP65F,2019,23.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE33,LIFEEXP65F,2020,22.4,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE33,LIFEEXP65F,2021,22.4,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE33,LIFEEXP65F,2022,22.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE33,LIFEEXP65F,2023,23.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE33,LIFEEXP65F,2024,23,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE33,LIFEEXP65F,2025,23.1,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE34,LIFEEXP65F,2015,22.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE34,LIFEEXP65F,2016,22.9,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE34,LIFEEXP65F,2017,22.4,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE34,LIFEEXP65F,2018,22.9,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE34,LIFEEXP65F,2019,23.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE34,LIFEEXP65F,2020,22.4,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE34,LIFEEXP65F,2021,22.7,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE34,LIFEEXP65F,2022,22.6,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE34,LIFEEXP65F,2023,23.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE34,LIFEEXP65F,2024,23.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE34,LIFEEXP65F,2025,23.2,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE4,LIFEEXP65F,2015,21.7,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE4,LIFEEXP65F,2016,22.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE4,LIFEEXP65F,2017,21.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE4,LIFEEXP65F,2018,22.4,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE4,LIFEEXP65F,2019,22.6,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE4,LIFEEXP65F,2020,22.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE4,LIFEEXP65F,2021,22.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE4,LIFEEXP65F,2022,22.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE4,LIFEEXP65F,2023,22.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE4,LIFEEXP65F,2024,22.6,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE4,LIFEEXP65F,2025,22.8,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE41,LIFEEXP65F,2015,21,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE41,LIFEEXP65F,2016,21.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE41,LIFEEXP65F,2017,21.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE41,LIFEEXP65F,2018,21.7,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE41,LIFEEXP65F,2019,21.9,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE41,LIFEEXP65F,2020,21.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE41,LIFEEXP65F,2021,21.9,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE41,LIFEEXP65F,2022,21.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE41,LIFEEXP65F,2023,21.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE41,LIFEEXP65F,2024,22,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE41,LIFEEXP65F,2025,22.6,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE42,LIFEEXP65F,2015,22.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE42,LIFEEXP65F,2016,21.6,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE42,LIFEEXP65F,2017,21.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE42,LIFEEXP65F,2018,23.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE42,LIFEEXP65F,2019,22.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE42,LIFEEXP65F,2020,21.9,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE42,LIFEEXP65F,2021,21.9,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE42,LIFEEXP65F,2022,21.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE42,LIFEEXP65F,2023,22.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE42,LIFEEXP65F,2024,22.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE42,LIFEEXP65F,2025,23.1,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE43,LIFEEXP65F,2015,21.9,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE43,LIFEEXP65F,2016,22.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE43,LIFEEXP65F,2017,22.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE43,LIFEEXP65F,2018,22.5,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE43,LIFEEXP65F,2019,22.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE43,LIFEEXP65F,2020,22.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE43,LIFEEXP65F,2021,22.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE43,LIFEEXP65F,2022,22.4,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE43,LIFEEXP65F,2023,22.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE43,LIFEEXP65F,2024,22.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE43,LIFEEXP65F,2025,23,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE44,LIFEEXP65F,2015,21.6,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE44,LIFEEXP65F,2016,22.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE44,LIFEEXP65F,2017,22.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE44,LIFEEXP65F,2018,22.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE44,LIFEEXP65F,2019,22.6,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE44,LIFEEXP65F,2020,22,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE44,LIFEEXP65F,2021,22.2,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE44,LIFEEXP65F,2022,21.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE44,LIFEEXP65F,2023,22.1,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE44,LIFEEXP65F,2024,22.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE44,LIFEEXP65F,2025,22.3,e,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE45,LIFEEXP65F,2015,21.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE45,LIFEEXP65F,2016,21.8,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE45,LIFEEXP65F,2017,21.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE45,LIFEEXP65F,2018,22.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE45,LIFEEXP65F,2019,22.4,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE45,LIFEEXP65F,2020,21.9,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE45,LIFEEXP65F,2021,21.3,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
IT1:22_293_DF_DCIS_INDDEMOG1_1(1.0),A,ITE45,LIFEEXP65F,2022,21.7,,,,TIPO_DATO15__LIFEEXP65F_N1,,,
